Designator,Mid X,Mid Y,Rotation,Layer
C1,82.268,-57.617,0.0,top
C2,81.739,-59.944,180.0,top
C3,81.739,-62.484,180.0,top
C4,90.424,-64.126,270.0,top
C6,88.6445,-44.25,0.0,top
C7,85.862,-46.4,180.0,top
C8,82.8445,-47.4,90.0,top
D2,78.929,-42.2585,90.0,top
D3,80.3445,-47.25,90.0,top
J1,89.47,-34.052,270.0,top
J2,101.916,-58.149,90.0,top
J3,69.469,-53.747051,180.0,top
J4,69.469,-49.403,180.0,top
R11,93.862,-54.8,90.0,top
R12,93.8795,-46.6875,270.0,top
R4,81.924,-42.2985,90.0,top
R9,74.8705,-54.352,180.0,top
RV1,76.08,-59.55,180.0,top
U1,88.3945,-50.75,270.0,top
